IATA_CODE,ENG_AIRPORT_NAME,KOR_AIRPORT_NAME,ENG_CITY_NAME,KOR_CITY_NAME,KOR_COUNTRY_NAME,ENG_COUNTRY_NAME,VIEW_COUNT
ALP,Aleppo International Airport,알레포 국제 공항,Aleppo,알레포,시리아,Syria,0
ALQ,Alegrete Airport,알레그레테 공항,Alegrete,알레그레테,브라질,Brazil,0
ALR,Alexandra Aerodrome,알렉산드라 비행장,Alexandra,알렉산드라,뉴질랜드,New Zealand,0
ALS,San Luis Valley Regional Airport,샌루이스밸리 공항,Alamosa,알라모사,미국,United States,0
ALW,Walla Walla Regional Airport,왈라왈라 공항,Walla Walla,왈라 왈라,미국,United States,0
ALY,El Nouzha Airport,엘 누자 공항,Alexandria,알렉산드리아,이집트,Egypt,0
ALZ,Alitak Seaplane Base,알리탁 수상비행기 기지,Lazy Bay,레이지 베이,미국,United States,0
AMA,Rick Husband Amarillo International Airport,릭 허드슨 애머릴로 국제 공항,Amarillo,아마릴로,미국,United States,0
AMD,Sardar Vallabhbhai Patel International Airport,사르다르 발라바이 파텔 국제공항,Ahmedabad,아마다바드,인도,India,0
AMH,Arba Minch Airport,아르바 민치 공항,Arba Minch,아르바 민치,이디오피아,Ethiopia,0
AMI,Selaparang Airport,셀라파랑 공항,Mataram,마타람,인도네시아,Indonesia,0
AMM,Queen Alia International Airport,퀸 알리아 국제 공항,Amman,암만,요르단,Jordan,0
AMQ,Pattimura Airport,파티무라 공항,Ambon,암본,인도네시아,Indonesia,0
AMS,Amsterdam AirportSchiphol,암스테르담 스키폴 공항,Amsterdam,암스테르담,네덜란드,Netherlands,0
AMV,Amderma Airport,암데르마 공항,Amderma,암더마,러시아,Russia,0
AMY,Ambatomainty Airport,암바토마인티 공항,Ambatomainty,암바토마인티,마다가스카르,Madagascar,0
ANA,Angama Mara Airport,앙가마 마라 공항,Angama Mara,앙가마 마라,케냐,Kenya,0
ANC,Ted Stevens Anchorage International Airport,테드 스티븐스 앵커리지 국제 공항,Anchorage,앵커리지,미국,United States,0
ANE,Angers Loire Airport,앙제 루아르 공항,Angers,앙제,프랑스,France,0
ANF,Cerro Moreno International Airport,세로 모레노 국제 공항,Antofagasta,안토파가스타,칠레,Chile,0
ANG,Angouleme Cognac International Airport,앙굴렘 코냑 국제공항,Angouleme,앙굴렘,프랑스,France,0
ANI,Aniak Airport,아니악 공항,Aniak,아니악,미국,United States,0
ANK,Etimesgut Air Base,에타임스구트 공군기지,Ankara,앙카라,터키,Turkey,0
ANM,Antsirabato Airport,안시라바토 공항,Antalaha,안탈라하,마다가스카르,Madagascar,0
ANR,Antwerp International Airport,앤트워프 국제 공항,Antwerp,앤트워프,벨기에,Belgium,0
ANS,Andahuaylas Airport,안다와일라스 공항,Andahuaylas,안다와일라스,페루,PerU,0
ANU,V. C. Bird International Airport,V. C. 버드 국제공항,Antigua,안티구아,앤티가 바부다,Antigua and Barbuda,0
ANV,Anvik Airport,안빅 공항,Anvik,앤빅,미국,United States,0
ANX,Andoya Airport Andenes,안도야 공항,Andenes,안데네스,노르웨이,Norway,0
AOC,Leipzig Altenburg Airport,라이프치히 알텐부르크 공항,Altenburg,알텐부르크,독일,Germany,0
AOE,Anadolu Airport,아나돌루 공항,EskiSehir,에스키세히르,터키,Turkey,0
AOG,Anshan Teng'ao Airport,안산 텅아오 공항,Anshan,안산,중국,China,0
AOI,Ancona Falconara Airport,안코나 팔코나라 공항,Ancona,안코나,이탈리아,Italy,0
AOJ,Aomori Airport,아오모리 공항,Aomori,아오모리,일본,Japan,0
AOK,Karpathos Island National Airport,카르파토스 아일랜드 내셔널 공항,Karpathos,카르파토스,그리스,Greece,0
AOO,Altoona Blair County Airport,앨투나 블레어 카운티 공항,Altoona,알투나,미국,United States,0
AOR,Sultan Abdul Halim Airport,술탄 압둘 할림 공항,Alor Setar,알로르 세타르,말레이시아,Malaysia,0
AOS,Amook Bay Seaplane Base ,아묵 베이 수상비행기 기지,Amook Bay,아묵 베이,미국,United States,0
AOT,Aosta Valley Airport,아오스타 밸리 공항,Aosta,아오스타,이탈리아,Italy,0
AOU,Attapeu International Airport,아타푸 국제공항,Attapeu,아타푸,라오스,Laos,0
APA,Centennial Airport,센테니얼 공항,Denver,덴버,미국,United States,0
APB,Apolo Airport,아폴로 공항,Apolo,아폴로,볼리비아,Bolivia,0
APC,Napa County Airport,나파 카운티 공항,Napa,나파,미국,United States,0
APF,Naples Municipal Airport,나폴리 공항,Naples,나폴리,미국,United States,0
APK,Apataki Airport,아파타키 공항,Apataki,아파타키,프랑스령 폴리네시아,French Polynesia,0
APL,Nampula Airport,남풀라 공항,Nampula,남풀라,모잠비크,Mozambique,0
APN,Alpena County Regional Airport,앨피너 카운티 공항,Alpena,알페나,미국,United States,0
APO,Antonio Roldan Betancourt Airport,안토니오 롤단 베탕쿠르 공항,Apartado,아파르타도,콜롬비아,Colombia,0
APW,Faleolo International Airport,팔레올로 국제 공항,Apia,아피아,사모아,Samoa,0
APX,Arapongas Airport,아라퐁가스 공항,Arapongas,아라퐁가,브라질,Brazil,0
AQA,Araraquara Airport,아라라콰라 공항,Araraquara,아라라콰라,브라질,Brazil,0
AQG,Anqing Tianzhushan Airport,안칭 티안주산 공항,Anqing,안칭,중국,China,0
AQI,Al Qaisumah/Hafr Al Batin Airport,알 카이수마/하프르 알 바틴 공항,Qaisumah-Hafar al-Batin,카이수마-하파르 알-바틴,사우디아라비아,Saudi Arabia,0
AQJ,King Hussein International Airport,킹 후세인 국제공항,Aqaba,아카바,요르단,Jordan,0
AQP,RodrIguez Ballon International Airport,로드리게스 발론 국제공항,Arequipa,아레키파,페루,PerU,0
ARA,Acadiana Regional Airport,아카디아나 지역공항,New Iberia,뉴 이베리아,미국,United States,0
ARC,Arctic Village Airport,북극 마을 공항,Arctic Village,북극마을,미국,United States,0
ARD,Alor Island Airport,알로르 아일랜드 공항,Alor Island,알로르섬,인도네시아,Indonesia,0
ARH,Talagi Airport,탈라기 공항,Arkhangelsk,아르한겔스크,러시아,Russia,0
ARI,Chacalluta International Airport,차칼루타 국제공항,Arica,아리카,칠레,Chile,0
ARK,Arusha Airport,아루샤 공항,Arusha,아루샤,탄자니아,Tanzania,0
ARM,Armidale Airport,아미데일 공항,Armidale,아미데일,오스트레일리아,Australia,0
ARN,Stockholm Arlanda Airport,스톡홀름 알란다 공항,Stockholm,스톡홀름,스웨덴,Sweden,0
ARR,Alto RIo Senguer Airport,알토 리오 셍구에르 공항,Alto RIo Senguer,알토 리오 센게르,아르헨티나,Argentina,0
ART,Watertown International Airport,워터타운 국제공항,Watertown,워터타운,미국,United States,0
ARU,Aracatuba Airport,아라사투바 공항,Aracatuba,아라카투바,브라질,Brazil,0
ARV,Lakeland Airport,레이크랜드 공항,Minocqua-Woodruff,미노콰-우드러프,미국,United States,0
ARW,Arad International Airport,아라드 국제공항,Arad,아라드,루마니아,Romania,0
ARX,Aracati Airport,아라카티 공항,Aracati,아라카티,브라질,Brazil,0
ASA,Assab International Airport,아사브 국제공항,Assab,아삽,에리트레아,Eritrea,0
ASB,Ashgabat International Airport,아시가바트 국제공항,Ashgabat,아시가바트,투르크메니스탄,Turkmenistan,0
ASD,Andros Town International Airport,안드로스 타운 국제공항,Andros Town,안드로스 타운,바하마,Bahamas,0
ASE,Aspen Pitkin County Airport,아스펜 핏킨 카운티 공항,Aspen,아스펜,미국,United States,0
ASF,Narimanovo Airport,나리마노보 공항,Astrakhan,아스트라한,러시아,Russia,0
ASI,RAF Ascension Island ,어센션 섬 공항,Ascension Island,승천섬,세인트헬레나,Saint Helena,0
ASJ,Amami Airport,아마미 공항,Amami,아마미,일본,Japan,0
ASM,Asmara International Airport,아스마라 국제공항,Asmara,아스마라,에리트레아,Eritrea,0
ASO,Asosa Airport,아소사 공항,Asosa,아소사,이디오피아,Ethiopia,0
ASP,Alice Springs Airport,앨리스 스프링스 공항,Alice Springs,앨리스 스프링스,오스트레일리아,Australia,0
ASR,Erkilet International Airport,에르킬레트 국제공항,Kayseri,카이세리,터키,Turkey,0
AST,Astoria Regional Airport,아스토리아 지역공항,Astoria,아스토리아,미국,United States,0
ASU,Silvio Pettirossi International Airport,실비오 페티로시 국제공항,Asuncion,아순시온,파라과이,Paraguay,0
ASV,Amboseli Airport,암보셀리 공항,Amboseli,암보셀리,케냐,Kenya,0
ASW,Aswan International Airport,아스완 국제공항,Aswan,아스완,이집트,Egypt,0
ATA,Comandante FAP German Arias Graziani Airport,코만단테 FAP 게르만 아리아스 그라지아니 공항,Huaraz,우아라스,페루,PerU,0
ATC,Arthur's Town Airport,아서스 타운 공항,Arthur's Town,아서스 타운,바하마,Bahamas,0
ATD,Uru Harbour Airport,우루 항구 공항,Atoifi,아토이피,솔로몬 제도,Solomon Islands,0
ATH,Athens International Airport,아테네 국제공항,Athens,아테네,그리스,Greece,0
ATJ,Antsirabe Airport,안트시라베 공항,Antsirabe,안트시라베,마다가스카르,Madagascar,0
ATK,Atqasuk Edward Burnell Sr. Memorial Airport,앳가숙 에드워드 버넬 시니어 메모리얼 공항,Atqasuk,앳가숙,미국,United States,0
ATL,HartsFieldJackson Atlanta International Airport,하츠필드 잭슨 애틀랜타 국제공항,Atlanta,애틀랜타,미국,United States,0
ATM,Altamira Airport,알타미라 공항,Altamira,알타미라,브라질,Brazil,0
ATQ,Sri Guru Ram Dass Jee International Airport,스리 구루 람 다스 지 국제공항,Amritsar,암리차르,인도,India,0
ATT,Atmautluak Airport,아트마우틀루악 공항,Atmautluak,아트마우틀루악,미국,United States,0
ATW,Appleton International Airport,애플턴 국제공항,Appleton,애플턴,미국,United States,0
ATY,Watertown Regional Airport,워터타운 지역공항,Watertown,워터타운,미국,United States,0
ATZ,Assiut Airport,아시우트 공항,Assiut,아시우트,이집트,Egypt,0
AUA,Queen Beatrix International Airport,퀸 베아트릭스 국제공항,Aruba,아루바,아루바,Aruba,0
AUC,Santiago Perez Quiroz Airport,산티아고 페레즈 키로스 공항,Arauca,아라우카,콜롬비아,Colombia,0
AUG,Augusta State Airport,오거스타 주립공항,Augusta,아우구스타,미국,United States,0
AUH,Abu Dhabi International Airport,아부다비 국제공항,Abu Dhabi,아부다비,아랍에미레이트,United Arab Emirates,0
AUK,Alakanuk Airport,알라카누크 공항,Alakanuk,알라카누크,미국,United States,0
AUL,Aur Airport,아우르 공항,Aur Atoll,아우르 환초,마샬 군도,Marshall Islands,0
AUO,Auburn University Regional Airport,오번대학교 지역공항,Auburn,오번,미국,United States,0
AUQ,Atuona Airport,아투오나 공항,Atuona,아투오나,프랑스령 폴리네시아,French Polynesia,0
AUR,Aurillac Tronquieres Airport,오리락 공항,Aurillac,오리악,프랑스,France,0
AUS,Austin Bergstrom International Airport,오스틴 버그스트롬 국제공항,Austin,오스틴,미국,United States,0
AUU,Aurukun Airport,오루쿤 공항,Aurukun,아우루쿤,오스트레일리아,Australia,0
AUX,AraguaIna Airport,아라과이나 공항,AraguaIna,아라과이나,브라질,Brazil,0
AUY,Anatom Airport,아톰공항,Anatom Island,아나톰 아일랜드,바누아투,Vanuatu,0
AVA,Anshun Huangguoshu Airport,안순 황궈슈 공항,Anshun,안순,중국,China,0
AVL,Asheville Regional Airport,애슈빌 공항,Asheville,애슈빌,미국,United States,0
AVN,Avignon Provence Airport,아비뇽 프로방스 공항,Avignon,아비뇽,프랑스,France,0
AVP,Wilkes Barre/Scranton International Airport,윌크스배러/스크랜턴 국제공항,Pittston Township,피츠턴 타운십,미국,United States,0
AVV,Avalon Airport,아발론 공항,Melbourne,멜버른,오스트레일리아,Australia,0
AWA,Awasa Airport,아와사 공항,Awasa,아와사,이디오피아,Ethiopia,0
AWD,Aniwa Airport,아니와 공항,Aniwa Island,아니와섬,바누아투,Vanuatu,0
AWZ,Ahvaz International Airport,아바즈 국제 공항,Ahvaz,아바즈,이란,Iran,0
AXA,Clayton J. Lloyd International Airport,클레이튼 J. 로이드 국제 공항,The Valley,더 밸리,앵귈라,Anguilla,0
AXD,Alexandroupoli Airport,알렉산드로폴리 공항,Alexandroupoli,알렉산드로폴리,그리스,Greece,0
AXF,Alxa Left Banner Bayanhot Airport,바얀호트 공항,Alxa Left Banner,Alxa 왼쪽 배너,중국,China,0
AXJ,Amakusa Airfield,아마쿠사 비행장,Amakusa,아마쿠사,일본,Japan,0
AXK,Ataq Airport,아타크 공항,Ataq,아탁,예멘,Yemen,0
AXM,El Eden International Airport,엘 에덴 국제 공항,Armenia,아르메니아,콜롬비아,Colombia,0
AXP,Spring Point Airport,스프링 포인트 공항,Spring Point,스프링 포인트,바하마,Bahamas,0
AXR,Arutua Airport,아루투아 공항,Arutua,아루투아,프랑스령 폴리네시아,French Polynesia,0
AXT,Akita Airport,아키타 공항,Akita,아키타,일본,Japan,0
AXU,Axum Airport,악숨 공항,Axum,악숨,이디오피아,Ethiopia,0
AYN,Anyang Airport,안양공항,Anyang,안양,중국,China,0
AYP,Coronel FAP Alfredo MendIvil Duarte Airport,야나밀라 공항,Ayacucho,아야쿠초,페루,PerU,0
AYQ,Ayers Rock Airport,에어즈락 공항,Yulara,율라라,오스트레일리아,Australia,0
AYT,Antalya Airport,안탈리아 공항,Antalya,안탈리아,터키,Turkey,0
AZA,Phoenix Mesa Gateway Airport,피닉스메사 게이트웨이 공항,Phoenix,피닉스,미국,United States,0
AZD,Shahid Sadooghi Airport,사히드 사두히 공항,Yazd,야즈드,이란,Iran,0
AZI,Al Bateen Executive Airport,알 바틴 이그제큐티브 공항,Abu Dhabi,아부다비,아랍에미레이트,United Arab Emirates,0
AZN,Andizhan Airport,안디잔 공항,Andizhan,안디잔,우즈베키스탄,Uzbekistan,0
AZO,Kalamazoo/Battle Creek International Airport,캘러머주/배틀크릭 국제공항,Kalamazoo,칼라마주,미국,United States,0
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,투앗 체이크 시디 모하메드 벨케비르 공항,Adrar,아드라르,알제리,Algeria,0
AZS,Samana El Catey International Airport,사마나 엘 카테이 국제 공항,El Catey,엘 카테이,도미니카공화국,Dominican Republic,0
BAD,Barksdale Air Force Base,바크스데일 공군기지,Bossier City,보시어 시티,미국,United States,0
BAF,WestField Barnes Regional Airport,웨스트필드 반스 공항,Westfield-Springfield,웨스트필드-스프링필드,미국,United States,0
BAG,Loakan Airport,로아칸 공항,Baguio,바기오,필리핀,Philippines,0
BAH,Bahrain International Airport,바레인 국제 공항,Manama,마나마,바레인,Bahrain,0
BAI,Buenos Aires Airport,부에노스 아이레스 공항,Buenos Aires,부에노스아이레스,코스타리카,Costa Rica,0
BAL,Batman Airport,배트맨 공항,Batman,말 당번,터키,Turkey,0
BAQ,Ernesto Cortissoz International Airport,에르네스토 코르티소스 국제 공항,Barranquilla,바랑키야,콜롬비아,Colombia,0
BAR,Qionghai Bo'ao Airport,칭하이 보아오 공항,Qionghai,충하이,중국,China,0
BAS,Balalae Airport,발랄래 공항,Balalae Island,발랄래섬,솔로몬 제도,Solomon Islands,0
BAT,Chafei Amsei Airport,차페이 암세이 공항,Barretos,바레토스,브라질,Brazil,0
BAV,Baotou Airport,바우터우 공항,Baotou,바오터우,중국,China,0
BAX,Barnaul Airport,바르나울 공항,Barnaul,바르나울,러시아,Russia,0
BAY,Baia Mare Airport,바이아 마레 공항,Baia Mare,바이아 마레,루마니아,Romania,0
BAZ,Barcelos Airport,바르셀로스 공항,Barcelos,바르셀로스,브라질,Brazil,0
BBA,Balmaceda Airport,발마세다 공항,Balmaceda,발마세다,칠레,Chile,0
BBG,Butaritari Atoll Airport,부타리타리 환초 공항,Butaritari Atoll,부타리타리 환초,키리바시,Kiribati,0
BBI,Biju Patnaik International Airport,비주 파트나이크 국제공항,Bhubaneswar,부바네스와르,인도,India,0
BBK,Kasane Airport,카사네 공항,Kasane,카사네,보츠와나,Botswana,0
BBL,Ballera Airport,발레라 공항,Ballera gas plant,발레라 가스 공장,오스트레일리아,Australia,0
BBN,Bario Airport,바리오 공항,Bario,바리오,말레이시아,Malaysia,0
BBO,Berbera Airport,베르베라 공항,Berbera,베르베라,소말리아,Somalia,0
BBQ,Barbuda Codrington Airport,바부다 코드링턴 공항,Barbuda,바부다,앤티가 바부다,Antigua and Barbuda,0
BBS,Blackbushe Airport,블랙부셰 공항,Yateley,예이틀리,영국,United Kingdom,0
BBU,Aurel Vlaicu International Airport,아우렐 블라이쿠 국제공항,Bucharest,부카레스트,루마니아,Romania,0
BCA,Gustavo Rizo Airport,구스타보 리조 공항,Baracoa,바라코아,쿠바,Cuba,0
BCD,Bacolod Silay International Airport,바콜로드 실라이 국제공항,Bacolod,바콜로드,필리핀,Philippines,0
BCI,Barcaldine Airport,바르칼딘 공항,Barcaldine,바르칼딘,오스트레일리아,Australia,0
BCM,Bacau International Airport,바커우 국제공항,Bacau,바코,루마니아,Romania,0
BCN,Barcelona El Prat Airport,바르셀로나 엘프라트 공항,Barcelona,바르셀로나,스페인,Spain,0
BCO,Baco Airport,바코 공항,Jinka,진카,이디오피아,Ethiopia,0
BCQ,Brak Airport,브락 공항,Brak,브라크,리비아,Libya,0
BCT,Boca Raton Airport,보카 레이턴 공항,Boca Raton,보카레이턴,미국,United States,0
BCU,Bauchi State Airport,바우치 주립 공항,Bauchi,바우치,나이지리아,Nigeria,0
BCV,Hector Silva Airstrip,헥터 실바 활주로,Belmopan,벨모판,벨리즈,Belize,0
BDA,L.F. Wade International Airport,L. F. 웨이드 국제공항,Hamilton,해밀턴,버뮤다,Bermuda,0
BDB,Bundaberg Airport,번더버그 공항,Bundaberg,분다버그,오스트레일리아,Australia,0
BDD,Badu Island Airport,바두 아일랜드 공항,Badu Island,바두섬,오스트레일리아,Australia,0
BDH,Bandar Lengeh Airport,반다르 렝게 공항,Bandar Lengeh,반다르랭게,이란,Iran,0
BDJ,Syamsudin Noor Airport,샴수단 누르 공항,Banjarmasin,반자르마신,인도네시아,Indonesia,0
BDL,Bradley International Airport,브래들리 국제 공항,Windsor Locks,윈저 자물쇠,미국,United States,0
BDO,Husein Sastranegara International Airport,후세인 사스트라네가라 국제공항,Bandung,반둥,인도네시아,Indonesia,0
BDP,Bhadrapur Airport,바드라푸르 공항,Bhadrapur-Chandragadhi,바드라푸르-찬드라가디,네팔,Nepal,0
BDQ,Vadodara Airport,바도다라 공항,Vadodara,바도다라,인도,India,0
BDR,Igor I. Sikorsky Memorial Airport,이고르 I. 시코르스키 메모리얼 공항,Bridgeport,브리지포트,미국,United States,0
BDS,Brindisi Salento Airport,브린디시 살렌토 공항,Brindisi,브린디시,이탈리아,Italy,0
BDU,Bardufoss Airport,바두포스 공항,Bardufoss,바르두포스,노르웨이,Norway,0
BEB,Benbecula Airport,벤베큘라 공항,Benbecula,벤베쿨라,영국,United Kingdom,0
